ID,TEMPAT LAHIR,TANGGAL LAHIR,AGAMA,TAHUN MASUK,TAHUN LULUS,PRODI,KONSENTRASI,JUMLAH SEMESTER TEMPUTH,JENIS WAKTU KELAS,IPK,JENIS KELAMIN
MHS_1752,DENPASAR,3/6/1994,ISLAM,2011,0,SK,Networking & Cyber Security,6,PAGI,0.78,L
MHS_1753,GIANYAR,5/20/1987,HINDU,2011,0,SK,Networking & Cyber Security,5,PAGI,2.6,L
MHS_1754,"DILI, TIMOR LESTE",3/19/1992,KATOLIK,2011,2018,SK,Networking & Cyber Security,15,PAGI,2.99,L
MHS_1755,KESIUT,1/31/1990,HINDU,2011,2018,SK,Networking & Cyber Security,12,PAGI,3.64,L
MHS_1756,BULELENG,12/21/1988,HINDU,2011,0,SK,Networking & Cyber Security,10,PAGI,3.38,L
MHS_1757,JINENGDALEM,1/16/1993,HINDU,2011,2015,SK,Networking & Cyber Security,8,PAGI,3.32,L
MHS_1758,BANGLI,7/20/1991,HINDU,2011,0,SK,Networking & Cyber Security,12,PAGI,3.11,L
MHS_1759,BULELENG,1/22/1988,HINDU,2011,2014,SK,Networking & Cyber Security,5,PAGI,2.91,P
MHS_1760,KENARI L BAJO,4/23/1993,ISLAM,2011,0,SK,Networking & Cyber Security,1,PAGI,0,L
MHS_1761,BADUNG,11/16/1986,HINDU,2011,0,SK,Networking & Cyber Security,10,MALAM,3.09,L
MHS_1762,DAJAN PEKEN,4/29/1987,HINDU,2011,2015,SK,Networking & Cyber Security,8,PAGI,2.88,L
MHS_1763,KEKERAN,11/15/1986,HINDU,2011,0,SK,Networking & Cyber Security,6,MALAM,3.03,L
MHS_1764,BULELENG,1/28/1990,HINDU,2011,2016,SK,Networking & Cyber Security,11,PAGI,3.34,L
MHS_1765,DENPASAR,12/16/1991,HINDU,2011,0,SK,Networking & Cyber Security,1,PAGI,0,L
MHS_1766,DENPASAR,10/20/1992,HINDU,2011,0,SK,Networking & Cyber Security,0,PAGI,0,L
MHS_1767,DENPASAR,5/17/1993,HINDU,2011,0,SK,Networking & Cyber Security,4,PAGI,0.02,L
MHS_1768,TABANAN,3/6/1993,HINDU,2011,2015,SK,Networking & Cyber Security,9,PAGI,3.51,L
MHS_1769,TANJUNG,12/12/1993,HINDU,2011,2018,SK,Networking & Cyber Security,14,PAGI,3.08,L
MHS_1770,SUKAMAJU,11/22/1991,HINDU,2011,2018,SK,Robotics & Embedded System,14,PAGI,3.01,L
MHS_1771,DENPASAR,8/29/1993,HINDU,2011,0,SK,Robotics & Embedded System,2,PAGI,3.38,L
MHS_1772,JINENGDALEM,6/22/1992,HINDU,2011,2016,SK,Networking & Cyber Security,11,PAGI,2.99,L
MHS_1773,DENPASAR,10/22/1984,HINDU,2011,0,SK,Networking & Cyber Security,1,PAGI,0,L
MHS_1774,DENPASAR,6/2/1993,HINDU,2011,0,SK,Networking & Cyber Security,1,PAGI,0.22,L
MHS_1775,GIANYAR,5/17/1993,HINDU,2011,2015,SK,Networking & Cyber Security,9,PAGI,3.19,L
MHS_1776,NAGARI,2/5/1993,HINDU,2011,2018,SK,Networking & Cyber Security,14,PAGI,3.19,L
MHS_1777,SURABAYA,8/22/1986,KRISTEN,2011,0,SK,Robotics & Embedded System,3,PAGI,2.65,L
MHS_1778,BANGLI,10/4/1993,HINDU,2011,0,SK,Networking & Cyber Security,4,PAGI,0,L
MHS_1779,KEDIRI,3/25/1993,HINDU,2011,2016,SK,Networking & Cyber Security,10,PAGI,3.14,L
MHS_1780,GIANYAR,1/7/1993,HINDU,2011,2015,SK,Networking & Cyber Security,9,PAGI,3.1,L
MHS_1781,SERAMPINGAN,6/20/1993,HINDU,2011,0,SK,Networking & Cyber Security,12,MALAM,2.94,L
MHS_1782,KEMBANG MERTA,7/26/1989,HINDU,2011,2015,SK,Networking & Cyber Security,9,PAGI,3.05,L
MHS_1783,DENPASAR,8/18/1989,HINDU,2011,2018,SK,Networking & Cyber Security,15,MALAM,2.99,L
MHS_1784,KUPANG,9/30/1987,KRISTEN,2011,0,SK,Networking & Cyber Security,2,PAGI,1.38,L
MHS_1785,GIANYAR,3/4/1993,HINDU,2011,0,SK,Robotics & Embedded System,5,PAGI,1.03,L
MHS_1786,BADUNG,1/8/1993,HINDU,2011,2017,SK,Robotics & Embedded System,11,PAGI,3.12,L
MHS_1787,BADUNG,6/13/1990,KRISTEN,2011,0,SK,Networking & Cyber Security,7,MALAM,2.23,L
MHS_1788,DENPASAR,5/21/1993,HINDU,2011,0,SK,Networking & Cyber Security,4,PAGI,0.36,L
MHS_1789,DENPASAR,5/30/1989,HINDU,2011,2013,SK,Networking & Cyber Security,5,PAGI,0,L
MHS_1790,TABANAN,6/28/1993,HINDU,2011,2018,SK,Networking & Cyber Security,13,MALAM,2.9,L
MHS_1791,DENPASAR,1/7/1992,KATOLIK,2011,0,SK,Networking & Cyber Security,10,PAGI,0.66,L
MHS_1792,NUSASARI,12/12/1988,HINDU,2011,2015,SK,Networking & Cyber Security,8,PAGI,3.05,L
MHS_1793,BULELENG,9/5/1993,HINDU,2011,2016,SK,Networking & Cyber Security,10,PAGI,3.56,L
MHS_1794,BANYUWANGI,12/12/1992,ISLAM,2011,2018,SK,Networking & Cyber Security,14,PAGI,3.3,L
MHS_1795,MEDAN ,2/12/2061,KRISTEN,2011,2014,SK,Networking & Cyber Security,6,PAGI,3.9,L
MHS_1796,MANGGARAI,10/15/1994,ISLAM,2011,2015,SK,Networking & Cyber Security,9,PAGI,3.32,L
MHS_1797,DENPASAR,3/15/1994,HINDU,2011,2016,SK,Networking & Cyber Security,10,PAGI,3.6,L
MHS_1798,TABANAN,2/21/1985,HINDU,2011,0,SK,Robotics & Embedded System,14,PAGI,3.46,L
MHS_1799,DENPASAR,8/30/1987,HINDU,2011,0,SK,Networking & Cyber Security,8,PAGI,2.75,P
MHS_1800,GIANYAR,5/1/1989,HINDU,2011,0,SK,Networking & Cyber Security,3,MALAM,2.67,P
MHS_1801,MATARAM,11/28/1988,HINDU,2011,0,SK,Networking & Cyber Security,3,MALAM,2.52,L
MHS_1802,TIMOR LESTE,8/27/1984,ISLAM,2011,0,SK,Networking & Cyber Security,12,PAGI,3.49,L
MHS_1803,BELU,6/14/1992,KATOLIK,2011,0,SK,Networking & Cyber Security,1,PAGI,3,L
MHS_1804,DENPASAR,10/24/1993,HINDU,2011,2015,SK,Networking & Cyber Security,9,PAGI,3.05,L
MHS_1805,SURABAYA,4/4/1993,ISLAM,2011,0,SK,Robotics & Embedded System,13,PAGI,3.07,L
MHS_1806,BANGLI,8/21/1986,HINDU,2011,0,SK,Networking & Cyber Security,1,PAGI,0,L
MHS_1807,BANGLI,11/6/1986,HINDU,2011,0,SK,Networking & Cyber Security,15,PAGI,3.24,L
MHS_1808,KENDARI,11/4/1989,HINDU,2011,0,SK,Networking & Cyber Security,15,PAGI,3.56,P
MHS_1809,RUMOONG ATAS,11/19/1991,HINDU,2011,2014,SK,Networking & Cyber Security,6,PAGI,3.18,P
MHS_1810,BANGLI,7/13/1992,HINDU,2011,0,SK,Networking & Cyber Security,9,MALAM,2.19,L
MHS_1811,BANGLI,8/27/1993,HINDU,2011,0,SK,Networking & Cyber Security,1,PAGI,0,L
MHS_1812,MAGETAN,9/26/1992,ISLAM,2011,0,SK,Networking & Cyber Security,3,PAGI,2.41,L
MHS_1813,DESA PENARUNGAN,7/9/1989,HINDU,2011,2018,SK,Networking & Cyber Security,14,PAGI,3.48,L
MHS_1814,BADUNG,5/25/1988,HINDU,2011,0,SK,Networking & Cyber Security,1,PAGI,2.17,L
MHS_1815,DENPASAR,11/9/1993,HINDU,2011,2018,SK,Networking & Cyber Security,13,PAGI,2.85,L
MHS_1816,JEMBER,3/31/1993,ISLAM,2011,2015,SK,Networking & Cyber Security,9,PAGI,3.14,L
MHS_1817,GIANYAR,1/22/1992,HINDU,2011,0,SK,Networking & Cyber Security,7,MALAM,2.2,L
MHS_1818,BULUKUMBA,9/26/1990,ISLAM,2011,0,SK,Networking & Cyber Security,1,PAGI,0.44,L
MHS_1819,MATARAM,2/21/1987,HINDU,2011,0,SK,Networking & Cyber Security,5,PAGI,2.51,L
MHS_1820,DENPASAR,11/19/1990,HINDU,2011,2013,SK,Networking & Cyber Security,4,PAGI,0,L
MHS_1821,DENPASAR,4/2/1993,HINDU,2011,0,SK,Networking & Cyber Security,1,PAGI,0,L
MHS_1822,DENPASAR,3/18/1993,ISLAM,2011,2015,SK,Networking & Cyber Security,9,PAGI,3.22,L
MHS_1823,KUPANG,7/22/1991,ISLAM,2011,0,SK,Networking & Cyber Security,0,PAGI,3.24,L
MHS_1824,SURABAYA,2/3/1993,HINDU,2011,2018,SK,Networking & Cyber Security,12,MALAM,2.98,L
MHS_1825,BULELENG,12/1/1992,HINDU,2011,0,SK,Networking & Cyber Security,8,PAGI,2.84,P
MHS_1826,BADUNG,5/2/1993,HINDU,2011,0,SK,Networking & Cyber Security,14,PAGI,3.43,L
MHS_1827,DENPASAR,10/11/1992,HINDU,2011,0,SK,Networking & Cyber Security,8,PAGI,2.45,P
MHS_1828,PATEMON,5/15/1993,HINDU,2011,2014,MI,Undefined,6,PAGI,2.94,P
MHS_1829,DENPASAR,3/26/1990,HINDU,2011,2014,MI,Undefined,6,PAGI,3.59,L
MHS_1830,TABANAN,5/3/1993,HINDU,2011,2014,MI,Undefined,6,PAGI,3.48,P
MHS_1831,DENPASAR,9/26/1993,ISLAM,2011,2014,MI,Undefined,6,PAGI,3.35,P
MHS_1832,BULELENG,5/29/1993,HINDU,2011,2014,MI,Undefined,6,PAGI,3.23,L
MHS_1833,PILING,1/29/1993,HINDU,2011,2016,MI,Undefined,10,PAGI,2.96,L
MHS_1834,MAUBARA,8/11/1988,KATOLIK,2011,0,MI,Undefined,4,PAGI,1.93,L
MHS_1835,DENPASAR,9/10/1992,HINDU,2011,2015,MI,Undefined,8,PAGI,2.97,L
MHS_1836,MANADO,3/30/1988,KATOLIK,2011,0,MI,Undefined,3,PAGI,2.34,P
MHS_1837,JAKARTA PUSAT,2/15/1988,KRISTEN,2011,2015,MI,Undefined,8,PAGI,2.95,P
MHS_1838,DENPASAR,10/13/1993,ISLAM,2011,0,MI,Undefined,0,PAGI,0,L
MHS_1839,DENPASAR,5/26/1993,HINDU,2011,2014,MI,Undefined,6,PAGI,3.58,L
MHS_1840,SAKTI,9/11/1993,HINDU,2011,2014,MI,Undefined,6,PAGI,3.23,L
MHS_1841,JEMBRANA,2/14/1993,HINDU,2011,2014,MI,Undefined,6,PAGI,3.18,L
MHS_1842,KARANGASEM,12/24/1992,HINDU,2011,2016,MI,Undefined,10,PAGI,3.23,L
MHS_1843,SEBUNIBUS,7/13/1992,HINDU,2011,2014,MI,Undefined,6,PAGI,3.14,L
MHS_1844,DENPASAR,9/23/1993,ISLAM,2011,0,MI,Undefined,9,PAGI,2.84,L
MHS_1845,BULELENG,11/17/1986,HINDU,2011,2015,MI,Undefined,8,PAGI,2.99,L
MHS_1846,KUPANG,7/9/1993,ISLAM,2011,2015,MI,Undefined,9,PAGI,2.74,P
MHS_1847,DENPASAR,5/13/1988,HINDU,2011,2014,MI,Undefined,6,PAGI,2.98,L
MHS_1848,MAKASAR,5/6/1987,HINDU,2011,0,MI,Undefined,6,PAGI,2.14,P
MHS_1849,JEMBER,4/9/1993,ISLAM,2011,0,MI,Undefined,1,PAGI,0.35,P
MHS_1850,BANYUWANGI,3/14/1993,KRISTEN,2011,0,MI,Undefined,7,PAGI,3.36,L
MHS_1851,TABANAN,3/8/1993,HINDU,2011,2014,MI,Undefined,7,PAGI,3.41,L
MHS_1852,TABANAN,7/25/1990,HINDU,2011,2014,MI,Undefined,6,PAGI,3.47,L
MHS_1853,DENPASAR,8/11/1991,HINDU,2011,2015,MI,Undefined,8,PAGI,3.28,L
MHS_1854,DENPASAR,7/29/1993,HINDU,2011,2015,MI,Undefined,8,PAGI,3.14,P
MHS_1855,KERIDAN,4/19/1993,HINDU,2011,2015,MI,Undefined,9,PAGI,3.33,P
MHS_1856,DENPASAR,6/10/2014,HINDU,2011,0,MI,Undefined,6,PAGI,2.26,L
MHS_1857,LANGUDU,3/6/1993,HINDU,2011,0,MI,Undefined,4,PAGI,1.98,L
MHS_1858,SURABAYA,7/19/1986,ISLAM,2011,0,MI,Undefined,6,PAGI,2.81,L
MHS_1859,TALIWANG,2/8/1991,ISLAM,2011,0,MI,Undefined,1,PAGI,0.3,L
MHS_1860,KARANGASEM,11/12/1987,HINDU,2011,0,MI,Undefined,2,PAGI,3.9,L
MHS_1861,BLITAR,3/6/1993,ISLAM,2011,2014,MI,Undefined,6,PAGI,3.76,L
